2kmx2km,250mx250m,Data_file_name,Upper_left_utm,Lower_right_utm
666492x2,667492d2,Tile_+017_+000,"[25492500.0, 6668000.0]","[25492750.0, 6667750.0]"
666492x2,667492d4,Tile_+018_+000,"[25492750.0, 6668000.0]","[25493000.0, 6667750.0]"
666492x2,667493b2,Tile_+019_+000,"[25493000.0, 6668000.0]","[25493250.0, 6667750.0]"
666492x2,667493b4,Tile_+020_+000,"[25493250.0, 6668000.0]","[25493500.0, 6667750.0]"
666492x2,667493d2,Tile_+021_+000,"[25493500.0, 6668000.0]","[25493750.0, 6667750.0]"
666492x2,667493d4,Tile_+022_+000,"[25493750.0, 6668000.0]","[25494000.0, 6667750.0]"
666494x2,667494b2,Tile_+023_+000,"[25494000.0, 6668000.0]","[25494250.0, 6667750.0]"
666494x2,667494b4,Tile_+024_+000,"[25494250.0, 6668000.0]","[25494500.0, 6667750.0]"
666494x2,667494d2,Tile_+025_+000,"[25494500.0, 6668000.0]","[25494750.0, 6667750.0]"
666494x2,667494d4,Tile_+026_+000,"[25494750.0, 6668000.0]","[25495000.0, 6667750.0]"
666494x2,667495b2,Tile_+027_+000,"[25495000.0, 6668000.0]","[25495250.0, 6667750.0]"
666494x2,667495b4,Tile_+028_+000,"[25495250.0, 6668000.0]","[25495500.0, 6667750.0]"
666494x2,667495d2,Tile_+029_+000,"[25495500.0, 6668000.0]","[25495750.0, 6667750.0]"
666494x2,667495d4,Tile_+030_+000,"[25495750.0, 6668000.0]","[25496000.0, 6667750.0]"
666496x2,667496b2,Tile_+031_+000,"[25496000.0, 6668000.0]","[25496250.0, 6667750.0]"
666496x2,667496b4,Tile_+032_+000,"[25496250.0, 6668000.0]","[25496500.0, 6667750.0]"
666496x2,667496d2,Tile_+033_+000,"[25496500.0, 6668000.0]","[25496750.0, 6667750.0]"
666496x2,667496d4,Tile_+034_+000,"[25496750.0, 6668000.0]","[25497000.0, 6667750.0]"
666496x2,667497b2,Tile_+035_+000,"[25497000.0, 6668000.0]","[25497250.0, 6667750.0]"
666496x2,667497b4,Tile_+036_+000,"[25497250.0, 6668000.0]","[25497500.0, 6667750.0]"
666496x2,667497d2,Tile_+037_+000,"[25497500.0, 6668000.0]","[25497750.0, 6667750.0]"
666496x2,667497d4,Tile_+038_+000,"[25497750.0, 6668000.0]","[25498000.0, 6667750.0]"
666498x2,667498b2,Tile_+039_+000,"[25498000.0, 6668000.0]","[25498250.0, 6667750.0]"
666498x2,667498b4,Tile_+040_+000,"[25498250.0, 6668000.0]","[25498500.0, 6667750.0]"
666498x2,667498d2,Tile_+041_+000,"[25498500.0, 6668000.0]","[25498750.0, 6667750.0]"
666498x2,667498d4,Tile_+042_+000,"[25498750.0, 6668000.0]","[25499000.0, 6667750.0]"
666498x2,667499b2,Tile_+043_+000,"[25499000.0, 6668000.0]","[25499250.0, 6667750.0]"
666498x2,667499b4,Tile_+044_+000,"[25499250.0, 6668000.0]","[25499500.0, 6667750.0]"
666498x2,667499d2,Tile_+045_+000,"[25499500.0, 6668000.0]","[25499750.0, 6667750.0]"
666498x2,667499d4,Tile_+046_+000,"[25499750.0, 6668000.0]","[25500000.0, 6667750.0]"
666500x2,667500b2,Tile_+047_+000,"[25500000.0, 6668000.0]","[25500250.0, 6667750.0]"
666500x2,667500b4,Tile_+048_+000,"[25500250.0, 6668000.0]","[25500500.0, 6667750.0]"
666500x2,667500d2,Tile_+049_+000,"[25500500.0, 6668000.0]","[25500750.0, 6667750.0]"
666500x2,667500d4,Tile_+050_+000,"[25500750.0, 6668000.0]","[25501000.0, 6667750.0]"
666500x2,667501b2,Tile_+051_+000,"[25501000.0, 6668000.0]","[25501250.0, 6667750.0]"
666500x2,667501b4,Tile_+052_+000,"[25501250.0, 6668000.0]","[25501500.0, 6667750.0]"
666500x2,667501d2,Tile_+053_+000,"[25501500.0, 6668000.0]","[25501750.0, 6667750.0]"
666500x2,667501d4,Tile_+054_+000,"[25501750.0, 6668000.0]","[25502000.0, 6667750.0]"
666502x2,667502b2,Tile_+055_+000,"[25502000.0, 6668000.0]","[25502250.0, 6667750.0]"
668490x2,669490d1,Tile_+009_+007,"[25490500.0, 6669750.0]","[25490750.0, 6669500.0]"
668490x2,669490d2,Tile_+009_+008,"[25490500.0, 6670000.0]","[25490750.0, 6669750.0]"
668490x2,669490d3,Tile_+010_+007,"[25490750.0, 6669750.0]","[25491000.0, 6669500.0]"
668490x2,669490d4,Tile_+010_+008,"[25490750.0, 6670000.0]","[25491000.0, 6669750.0]"
668490x2,669491a3,Tile_+012_+005,"[25491250.0, 6669250.0]","[25491500.0, 6669000.0]"
668490x2,669491a4,Tile_+012_+006,"[25491250.0, 6669500.0]","[25491500.0, 6669250.0]"
